Title,Publication Date,Link,Snippet,Source ID,Country Code
"From Rosé to Katseye, the 2026 Grammy nominations mark a breakthrough — or maybe an evolution",2025-11-10 10:11:14,https://koreajoongangdaily.joins.com/news/2025-11-10/entertainment/kpop/From-Ros-to-Katseye-the-2026-Grammy-nominations-mark-a-breakthrough--or-maybe-an-evolution/2440763,ONLY AVAILABLE IN PAID PLANS,koreajoongangdaily_joins,KR
GKL hosts tourist event in DMZ,2025-11-10 06:47:03,https://www.koreatimes.co.kr/business/companies/20251110/gkl-hosts-tourist-event-in-dmz,ONLY AVAILABLE IN PAID PLANS,koreatimes,KR
"LS Electric quietly dominating key U.S. sector, sets sights on Texas data centers",2025-11-09 22:00:01,https://koreajoongangdaily.joins.com/news/2025-11-10/business/industry/LS-Electric-quietly-dominating-key-US-sector-sets-sights-on-Texas-data-centers/2439319,ONLY AVAILABLE IN PAID PLANS,koreajoongangdaily_joins,KR
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 16:18:36,https://www.latimes.com/world-nation/story/2025-11-10/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea,ONLY AVAILABLE IN PAID PLANS,latimes,US
"HWAL Inc., to Collaborate with International Music Industry Veterans on K-Pop Music Venture",2025-11-10 14:16:00,https://www.milescitystar.com/ap_news/montana/hwal-inc-to-collaborate-with-international-music-industry-veterans-on-k-pop-music-venture/article_2a18e089-c4db-598c-8004-945b056bdfb1.html,ONLY AVAILABLE IN PAID PLANS,milescitystar,US
‘It: Welcome to Derry’ Stars Kimberly Guerrero and James Remar on Episode 3’s Big Reveals,2025-11-10 14:15:55,https://gizmodo.com/it-welcome-to-derry-episode-3-spoilers-kimberly-guerrero-james-remar-2000680985,ONLY AVAILABLE IN PAID PLANS,gizmodotech,US
Global Markets Soar As US Government Set To Reopen After Democrats Cave,2025-11-10 14:15:50,https://www.zerohedge.com/markets/global-markets-soar-us-government-set-reopen-after-democrats-cave,ONLY AVAILABLE IN PAID PLANS,zerohedge,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 08:24:31,https://www.messenger-inquirer.com/ap/ap_international_news/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_97283568-bb23-561f-a80d-8a1a68fc455f.html,ONLY AVAILABLE IN PAID PLANS,messenger_inquirer,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 08:24:31,https://www.the-messenger.com/news/world/article_9f5aa0ff-e80b-5d30-b496-69d7e186185c.html,ONLY AVAILABLE IN PAID PLANS,the_messenger,US
South Korea Has New Charges for Ousted Leader,2025-11-10 06:14:10,https://www.newser.com/story/378385/south-koreas-ousted-leader-indicted-for-flying-drones-over-north.html,ONLY AVAILABLE IN PAID PLANS,newser,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:25:29,https://abcnews.go.com/International/wireStory/south-koreas-ousted-leader-yoon-indicted-flying-drones-127367354,ONLY AVAILABLE IN PAID PLANS,abcnews,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:15:35,https://www.newsday.com/news/nation/south-korea-yoon-martial-law-drones-t37447,ONLY AVAILABLE IN PAID PLANS,newsday,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.wsav.com/news/international-news/ap-south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/,ONLY AVAILABLE IN PAID PLANS,wsav,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.wfaa.com/article/syndication/associatedpress/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/616-f564c599-6227-47a4-981d-aa745a9e96a0,ONLY AVAILABLE IN PAID PLANS,wfaa,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://kdhnews.com/news/world/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_5ca8f3c8-ff0c-5410-8cde-1e88fd36a375.html,ONLY AVAILABLE IN PAID PLANS,kdhnews,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.dailysentinel.com/anpa/international/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_f5647a7c-ce5e-5779-a0ae-9c0aac0f7bb5.html,ONLY AVAILABLE IN PAID PLANS,dailysentinel,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.chronicleonline.com/news/world/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_d63d90f5-e046-5f16-b7a4-540e986dfad6.html,ONLY AVAILABLE IN PAID PLANS,chronicleonline,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.clickondetroit.com/news/world/2025/11/10/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/,ONLY AVAILABLE IN PAID PLANS,clickondetroit,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.kgw.com/article/syndication/associatedpress/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/616-f564c599-6227-47a4-981d-aa745a9e96a0,ONLY AVAILABLE IN PAID PLANS,kgw,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://apnews.com/article/south-korea-yoon-martial-law-drones-ced9c2e3163b44ba8da5169e22ce479a,ONLY AVAILABLE IN PAID PLANS,apnews,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.ksat.com/news/world/2025/11/10/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/,ONLY AVAILABLE IN PAID PLANS,ksat,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.kvue.com/article/syndication/associatedpress/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/616-f564c599-6227-47a4-981d-aa745a9e96a0,ONLY AVAILABLE IN PAID PLANS,kvue,US
South Korea’s ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.newspressnow.com/ap/ap-world-news/2025/11/09/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/,ONLY AVAILABLE IN PAID PLANS,newspressnow,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.dailygazette.com/ap/world/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_54858e33-c98d-5804-b4f4-605669b7fcc5.html,ONLY AVAILABLE IN PAID PLANS,dailygazette,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.12news.com/article/syndication/associatedpress/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/616-f564c599-6227-47a4-981d-aa745a9e96a0,ONLY AVAILABLE IN PAID PLANS,a12news,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.cbs17.com/news/ap-south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/,ONLY AVAILABLE IN PAID PLANS,cbs17,US
South Korea's ousted leader Yoon indicted for flying drones over North Korea,2025-11-10 05:12:14,https://www.guardonline.com/news/world/south-koreas-ousted-leader-yoon-indicted-for-flying-drones-over-north-korea/article_a215f914-1589-5e40-88da-d4c9e29aadc7.html,ONLY AVAILABLE IN PAID PLANS,guardonline,US
The Best Fried Chicken Restaurants In Every State,2025-11-09 16:40:00,https://www.thetakeout.com/2018387/best-fried-chicken-restaurant-every-state/,ONLY AVAILABLE IN PAID PLANS,thetakeout,US
